NUMBER;CLOSE
1;527.4
2;508
3;516.9
4;510.45
5;517.25
6;524.15
7;531.85
8;530.55
9;532.25
10;532.45
11;521.4
12;503.2
13;513.95
14;515.95
15;506.4
16;504.8
17;493.9
18;496.15
19;508.45
20;503.2
21;505.7
22;501.7
23;502.5
24;495.8
25;493.75
26;489.7
27;483.7
28;481.5
29;480.95
30;475.8
31;478.75
32;489.55
33;477.5
34;479.05
35;482.95
36;475.85
37;455.05
38;468.85
39;477.75
40;477.15
41;479.1
42;493.8
43;482.35
44;477.75
45;488.45
46;498
47;516.3
48;517.95
49;510.25
50;512.55
51;528.15
52;526.1
53;522.1
54;512.4
55;512.7
56;511
57;507.4
58;509.75
59;499.95
60;500
61;501.9
62;503.5
63;501.8
64;495.85
65;497.75
66;492.15
67;496
68;498.4
69;496.45
70;486.95
71;487.8
72;484.7
73;479
74;469
75;469.75
76;456.1
77;434.75
78;442.35
79;439.05
80;434.1
81;444.35
82;457
83;460.5
84;466.85
85;475.5
86;481.5
87;490.6
88;482.05
89;480.35
90;473.3
91;480.1
92;471.95
93;459.7
94;449.25
95;458.95
96;459.9
97;453.65
98;450.8
99;474.15
100;474.85
101;478
102;489.3
103;490.5
104;473.1
105;488.2
106;485.3
107;491.05
108;484.6
109;488.75
110;485.45
111;483.65
112;477.4
113;480.65
114;487.7
115;506.15
116;559.6
117;569.9
118;572.7
119;581.95
120;579.1
121;591
122;596
123;606.05
124;596.1
125;588.45
126;593.45
127;574.8
128;562.95
129;545.5
130;540.35
131;547.6
132;546.4
133;554.9
134;537.7
135;542.1
136;540
137;539.1
138;535.85
139;516.35
140;534.85
141;535.6
142;534.85
143;526.8
144;519.2
145;518.95
146;522.05
147;528.2
148;530.25
149;533.15
150;538.9
151;577.85
152;573.3
153;561.95
154;585.2
155;574.2
156;575.95
157;577.95
158;572.55
159;569.45
160;582.8
161;569.25
162;552.85
163;556.05
164;559.95
165;557.45
166;539
167;540.1
168;530.5
169;529.55
170;528.8
171;527.3
172;527.35
173;533.7
174;528.15
175;530.6
176;532
177;535.5
178;539.55
179;535.45
180;535.9
181;536.85
182;534.6
183;521.4
184;521.7
185;513.75
186;502.4
187;496.75
188;491.1
189;485
190;490.5
191;474.6
192;477.9
193;462.8
194;441.3
195;440
196;447.5
197;450.7
198;429
199;446
200;438
201;450.9
202;456.05
203;457.6
204;449.3
205;452.05
206;452.25
207;478.7
208;476.85
209;482
210;482.65
211;471.4
212;469.9
213;480
214;480.65
215;481.05
216;473.95
217;457.95
218;454.5
219;435.7
220;438.15
221;439.7
222;426.7
223;430.25
224;438
225;443.9
226;445.2
227;448.6
228;456.4
229;455.85
230;438.8
231;442.15
232;439.85
233;445.5
234;447.45
235;439
236;432.3
237;429.35
238;423.85
239;420.7
240;413.9
241;413.65
242;428.15
243;424.95
244;427.15
245;428.35
246;418.65
247;438.7
248;444.15
249;435.45
250;437.9
251;429.2
252;430.15
253;429.85
254;425.75
255;411.15
256;415.4
257;444.4
258;457.6
259;450.3
260;436.15
261;456.95
262;454.85
263;455.6
264;448.75
265;440
266;436.8
267;435.05
268;435.15
269;438.75
270;439.2
271;437.15
272;442.3
273;439.75
274;435
275;427.3
276;426.7
277;427.35
278;425.9
279;426.6
280;415.25
281;410.25
282;413.2
283;402.25
284;404.35
285;402.8
286;422.25
287;419.15
288;422
289;420.7
290;414.35
291;418
292;418.25
293;417.6
294;419.6
295;424.7
296;422.5
297;418
298;419.35
299;418.55
300;415.05
301;425.95
302;419.4
303;419.65
304;416.85
305;429.1
306;435.75
307;438.4
308;445.05
309;455.2
310;461.55
311;461.5
312;456.6
313;474.75
314;487.35
315;473.45
316;472.9
317;475.2
318;466.8
319;463.25
320;454.75
321;456.35
322;457.7
323;456.05
324;458.4
325;461.65
326;465.6
327;456.15
328;459.75
329;461.95
330;463
331;461.1
332;451.8
333;447.95
334;449.55
335;459.4
336;457.65
337;457.1
338;458
339;467.7
340;461.65
341;464.55
342;448.4
343;445.1
344;449.65
345;440.8
346;436.85
347;441
348;435.55
349;428.9
350;431.45
351;421.9
352;427.7
353;422.2
354;424.25
355;424.7
356;424.85
357;416.9
358;411.4
359;406.8
360;408
361;404.4
362;401.5
363;403.05
364;411.65
365;411.95
366;403.85
367;417.6
368;406.5
369;407.35
370;407.85
371;402.8
372;401.35
373;400.85
374;423.75
375;418
376;423.3
377;421.95
378;421
379;411.95
380;401.95
381;389.85
382;389.8
383;370.15
384;376.5
385;377.95
386;387.5
387;382.45
388;384.8
389;394.2
390;389.4
391;389.95
392;394.85
393;395.25
394;396.25
395;389.45
396;390.15
397;383.9
398;383.15
399;382.2
400;382.2
401;381.65
402;379.8
403;387.25
404;402.6
405;412.95
406;407.95
407;409.55
408;410.2
409;407.4
410;400.7
411;405
412;404.95
413;407.35
414;406.3
415;404.25
416;399.8
417;400
418;410
419;403
420;408.05
421;407.6
422;411.65
423;402.25
424;405
425;403.85
426;409.65
427;413
428;411.45
429;409.25
430;410
431;410.15
432;409.95
433;406.25
434;404.95
435;405.75
436;402.8
437;408.5
438;409.6
439;411
440;408.65
441;409
442;402.6
443;403.15
444;400.45
445;404.05
446;392.05
447;390.5
448;393.55
449;394.4
450;395.45
451;396.05
452;395.9
453;392.1
454;391.8
455;395.55
456;397
457;399.45
458;399.4
459;400.9
460;397.95
461;406.35
462;404.75
463;412.6
464;407.75
465;408.6
466;408.8
467;401.35
468;400.55
469;400.65
470;396.35
471;394.8
472;395.35
473;395.3
474;391.55
475;389.55
476;391.25
